model_name,accuracy,precision,recall,f1_score,auc,n_samples,n_positive,n_negative
LightGBM,0.9981268127408066,0.9393816788442774,0.9200180258577823,0.929599026515672,0.9993149169807354,9574590,128704,9445886
DL_MLP,0.9971688604942874,0.9277444235805287,0.8560573097961214,0.8904603920586108,0.9986953666355014,9574590,128704,9445886
DL_TRANSFORMER,0.986557753386829,0.0,0.0,0.0,,9574590,128704,9445886
