model_name,accuracy,precision,recall,f1_score,auc,n_samples,n_positive,n_negative
LightGBM,0.9887083963951832,0.744153788700585,0.6502672799602188,0.6940498403615707,0.9908613795455112,6534590,128704,6405886
DL_MLP,0.9881571758901476,0.8206929307069293,0.5101783938339135,0.6292115450956342,0.9899461971733169,6534590,128704,6405886
DL_TRANSFORMER,0.9891944253579796,0.8181838098367838,0.5803393833913476,0.6790367010009364,0.9917314104553001,6534590,128704,6405886
